,data,ministro,discurso_posse,link_bio,link_discurso
109,02/02/1844,Ernesto Ferreira França,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/383,NA
110,08/06/1843,Paulino José Soares de Souza,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=402,NA
111,20/01/1843,Honorio Hermeto Carneiro Leão,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=386,NA
112,24/07/1840,Aureliano de Souza e Oliveira Coutinho,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=387,NA
113,01/08/1839,Caetano Maria Lopes Gama,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=388,NA
114,16/04/1839,Candido Baptista de Oliveira,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=403,NA
115,19/09/1837,Antonio Peregrino Maciel Monteiro,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=389,NA
116,16/05/1837,Francisco Gê Acayaba de Montezuma,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=390,NA
117,20/02/1837,Antonio Paulino Limpo de Abreu,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=378,NA
118,01/11/1836,Gustavo Adolpho de Aguilar Pantoja,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=391,NA
119,03/06/1836,Antonio Paulino Limpo de Abreu,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=378,NA
120,16/01/1835,Manoel Alves Branco,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=392,NA
121,21/02/1834,Aureliano de Souza e Oliveira Coutinho,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=387,NA
122,13/09/1832,Bento da Silva Lisboa,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=382,NA
123,03/08/1832,Pedro de Araújo Lima,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=393,NA
124,07/04/1831,Francisco Carneiro de Campos,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=394,NA
125,05/04/1831,João Carlos Augusto de Oyenhausen,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=395,NA
126,09/10/1830,Francisco Carneiro de Campos,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=394,NA
127,29/07/1830,Francisco Villela Barbosa,NA,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/437,NA
128,04/12/1829,Miguel Calmon du Pin e Almeida,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/375,NA
129,20/11/1827,João Carlos Augusto de Oyenhausen,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=395,NA
130,15/01/1827,João Severiano Maciel da Costa,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=396,NA
131,20/01/1826,Antonio Luiz Pereira da Cunha,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=397,NA
132,21/11/1825,José Egydio Alvares de Almeida,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=398,NA
133,13/11/1823,Luiz José de Carvalho e Mello,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=399,NA
134,10/11/1823,Francisco Villela Barbosa,NA,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/437,NA
135,17/09/1823,José Joaquim Carneiro de Campos,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=400,NA
136,30/10/1822,José Bonifácio de Andrada e Silva,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=401,NA
